<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014/5/15,10:55:00,14150,14150,14115,14145,12758
2014/5/15,11:00:00,14145,14160,14140,14145,6102
2014/5/15,11:05:00,14145,14155,14130,14140,6428
2014/5/15,11:10:00,14140,14155,14135,14150,4414
2014/5/15,11:15:00,14150,14165,14145,14155,6754
2014/5/15,11:20:00,14155,14155,14145,14155,3458
2014/5/15,11:25:00,14155,14155,14130,14140,5970
2014/5/15,11:30:00,14140,14145,14110,14115,8704
2014/5/15,13:35:00,14115,14130,14100,14125,15654
2014/5/15,13:40:00,14125,14125,14080,14090,16626
2014/5/15,13:45:00,14095,14100,14060,14100,17154
2014/5/15,13:50:00,14105,14105,14080,14100,8378
2014/5/15,13:55:00,14100,14100,14080,14095,4140
2014/5/15,14:00:00,14090,14120,14075,14115,11866
2014/5/15,14:05:00,14115,14130,14095,14120,11846
2014/5/15,14:10:00,14115,14120,14095,14120,8724
2014/5/15,14:15:00,14120,14120,14105,14105,5068
2014/5/15,14:20:00,14105,14130,14100,14110,10550
2014/5/15,14:25:00,14110,14145,14110,14145,9724
2014/5/15,14:30:00,14145,14145,14110,14110,9450
2014/5/15,14:35:00,14110,14125,14100,14125,8998
2014/5/15,14:40:00,14130,14130,14115,14120,4922
2014/5/15,14:45:00,14115,14120,14095,14100,9890
2014/5/15,14:50:00,14100,14120,14095,14120,9126
2014/5/15,14:55:00,14120,14125,14065,14070,16872
2014/5/15,15:00:00,14070,14105,14070,14100,27774
2014/5/16,09:05:00,14045,14060,13990,14045,39798
2014/5/16,09:10:00,14045,14055,13985,14000,22990
2014/5/16,09:15:00,14000,14055,13985,14040,22076
2014/5/16,09:20:00,14035,14080,14025,14035,15536
2014/5/16,09:25:00,14035,14060,14035,14050,11358
2014/5/16,09:30:00,14050,14060,14030,14055,6220
2014/5/16,09:35:00,14055,14060,14040,14040,5214
2014/5/16,09:40:00,14045,14075,14040,14065,7510
2014/5/16,09:45:00,14065,14070,14045,14050,5308
2014/5/16,09:50:00,14050,14050,14025,14030,8532
2014/5/16,09:55:00,14035,14045,13990,14010,10028
2014/5/16,10:00:00,14005,14020,13965,13965,20732
2014/5/16,10:05:00,13965,14000,13955,13995,16482
2014/5/16,10:10:00,13990,14000,13975,13990,5028
2014/5/16,10:15:00,13990,14020,13990,14015,8684
2014/5/16,10:35:00,14015,14015,13990,13990,6934
2014/5/16,10:40:00,13995,14000,13980,13995,5798
2014/5/16,10:45:00,13995,14000,13960,13965,11780
2014/5/16,10:50:00,13960,13985,13950,13970,8326
2014/5/16,10:55:00,13975,13990,13970,13980,4678
2014/5/16,11:00:00,13975,13980,13930,13930,12112
2014/5/16,11:05:00,13930,13940,13900,13900,21618
2014/5/16,11:10:00,13905,13905,13835,13870,32588
2014/5/16,11:15:00,13870,13875,13845,13870,12528
2014/5/16,11:20:00,13870,13885,13855,13865,10574
2014/5/16,11:25:00,13860,13875,13820,13850,18558
2014/5/16,11:30:00,13845,13865,13835,13855,10920
2014/5/16,13:35:00,13840,13850,13730,13740,38574
2014/5/16,13:40:00,13735,13735,13635,13700,49348
2014/5/16,13:45:00,13695,13725,13675,13710,18258
2014/5/16,13:50:00,13705,13720,13690,13710,12046
2014/5/16,13:55:00,13710,13830,13705,13775,46706
2014/5/16,14:00:00,13780,13800,13770,13775,13952
2014/5/16,14:05:00,13780,13780,13745,13770,14534
2014/5/16,14:10:00,13770,13790,13765,13785,8580
2014/5/16,14:15:00,13790,13790,13755,13765,9366
2014/5/16,14:20:00,13765,13780,13760,13770,6334
2014/5/16,14:25:00,13770,13795,13770,13785,5728
2014/5/16,14:30:00,13785,13790,13750,13760,8482
2014/5/16,14:35:00,13755,13770,13705,13720,18828
2014/5/16,14:40:00,13720,13735,13685,13705,16734
2014/5/16,14:45:00,13700,13735,13690,13700,13458
2014/5/16,14:50:00,13700,13755,13700,13730,16724
2014/5/16,14:55:00,13730,13800,13720,13795,22484
2014/5/16,15:00:00,13790,13840,13790,13820,40036
2014/5/19,09:05:00,13860,13900,13825,13855,30430
2014/5/19,09:10:00,13850,13875,13825,13835,15758
2014/5/19,09:15:00,13840,13840,13805,13830,15110
2014/5/19,09:20:00,13830,13895,13825,13880,22794
2014/5/19,09:25:00,13880,13925,13875,13900,27470
2014/5/19,09:30:00,13900,13905,13880,13895,9070
2014/5/19,09:35:00,13900,13920,13885,13890,10190
2014/5/19,09:40:00,13890,13895,13840,13845,20432
2014/5/19,09:45:00,13845,13865,13830,13855,12296
2014/5/19,09:50:00,13855,13890,13855,13885,8056
2014/5/19,09:55:00,13885,13940,13880,13910,20232
2014/5/19,10:00:00,13910,13915,13880,13900,12894
2014/5/19,10:05:00,13895,13975,13895,13955,29554
2014/5/19,10:10:00,13955,13965,13935,13935,12344
2014/5/19,10:15:00,13935,14240,13935,14235,90928
2014/5/19,10:35:00,14230,14395,14230,14305,85952
2014/5/19,10:40:00,14305,14525,14270,14525,80488
